artist_name,track_name,release_date,genre,lyrics
Arctic Monkeys,Do I Wanna Know?,2013,indie,have you got colour in your cheeks do you ever get that fear that you cant shift the type that sticks around like summat in your teeth are there some aces up your sleeve have you no idea that youre in deep ive dreamt about you nearly every night this week how many secrets can you keep cause theres this tune i found that makes me think of you somehow an i play it on repeat until i fall asleep spillin drinks on my settee do i wanna know if this feelin flows both ways sad to see you go was sorta hopin that youd stay baby we both know that the nights were mainly made for sayin things that you cant say tomorrow day crawlin back to you ever thought of callin when youve had a few cause i always do maybe im too busy bein yours to fall for somebody new now ive thought it through crawlin back to you so have you got the guts been wonderin if your hearts still open and if so i wanna know what time it shuts simmer down an pucker up im sorry to interrupt its just im constantly on the cusp of tryin to kiss you but i dont know if you feel the same as i do but we could be together if you wanted to do i wanna know if this feelin flows both ways sad to see you go was sorta hopin that youd stay baby we both know that the nights were mainly made for sayin things that you cant say tomorrow day crawlin back to you crawlin back to you ever thought of callin when youve had a few had a few cause i always do cause i always do maybe im too maybe im too busy busy bein yours bein yours to fall for somebody new now ive thought it through crawlin back to you do i wanna know if this feelin flows both ways sad to see you go was sorta hopin that youd stay baby we both know that the nights were mainly made for sayin things that you cant say tomorrow day do i wanna know too busy bein yours to fall sad to see you go ever thought of callin darlin do i wanna know do you want me crawlin back to you
Arctic Monkeys,505,2007,indie,im going back to if its a seven hour flight or a fortyfive minute drive in my imagination youre waitin lyin on your side with your hands between your thighs stop and wait a sec and when you look at me like that my darlin what did you expect id probably still adore you with your hands around my neck or i did last time i checked not shy of a spark the knife twists at the thought that i should fall short of the mark frightened by the bite though its no harsher than the bark the middle of adventure such a perfect place to start im going back to if its a seven hour flight or a fortyfive minute drive in my imagination youre waitin lyin on your side with your hands between your thighs but i crumble completely when you cry it seems like once again youve had to greet me with goodbye im always just about to go and spoil the surprise take my hands off of your eyes too soon im going back to if its a seven hour flight or a fortyfive minute drive in my imagination youre waitin lyin on your side with your hands between your thighs and a smile
Arctic Monkeys,Fluorescent Adolescent,2007,indie,you used to get it in your fishnets now you only get it in your night dress discarded all the naughty nights for niceness landed in a very common crisis everythings in order in a black hole nothing seems as pretty as the past though that bloody marys lacking in tabasco remember when you used to be a rascal oh the boys a slag the best you ever had the best you ever had is just a memory and those dreams werent as daft as they seem as daft as they seem my love when you dream them up flicking through a little book of sex tips remember when the boys were all electric and now when shes told shes gonna get it im guessing that shed rather just forget it clinging to not getting sentimental said she wasnt going but she went still likes her gentlemen not to be gentle was it a mecca dauber or a betting pencil oh the boys a slag the best you ever had the best you ever had is just a memory and those dreams werent as daft as they seem not as daft as they seem my love when you dream them up oh flo where did you go where did you go where did you go youre falling about you took a left off last laugh lane just sounding it out but youre not coming back again youre falling about you took a left off last laugh lane you were just sounding it out but youre not coming back again you used to get it in your fishnets falling about now you only get it in your night dress discarded all the naughty nights for niceness you took a left off last laugh lane landed in a very common crisis everythings in order in a black hole you were just sounding it out is anything as pretty in the past though that bloody marys lacking in tabasco youre not coming back again remember when you used to be a rascal oh
Arctic Monkeys,I Wanna Be Yours,2013,indie,i wanna be your vacuum cleaner breathin in your dust i wanna be your ford cortina i will never rust if you like your coffee hot let me be your coffee pot you call the shots babe i just wanna be yours secrets i have held in my heart are harder to hide than i thought maybe i just wanna be yours i wanna be yours i wanna be yours wanna be yours wanna be yours wanna be yours let me be your leccy meter an ill never run out let me be the portable heater that youll get cold without i wanna be your setting lotion wanna be hold your hair in deep devotion how deep at least as deep as the pacific ocean i wanna be yours secrets i have held in my heart are harder to hide than i thought maybe i just wanna be yours i wanna be yours i wanna be yours wanna be yours wanna be yours wanna be yours wanna be yours wanna be yours wanna be yours wanna be yours wanna be yours i wanna be your vacuum cleaner wanna be yours breathin in your dust wanna be yours i wanna be your ford cortina wanna be yours i will never rust wanna be yours i just wanna be yours wanna be yours i just wanna be yours wanna be yours i just wanna be yours wanna be yours
Arctic Monkeys,Why’d You Only Call Me When You’re High?,2013,indie,the mirrors image tells me its home time but im not finished cause youre not by my side and as i arrived i thought i saw you leavin carryin your shoes decided that once again i was just dreamin of bumpin into you now its three in the mornin and im tryna change your mind left you multiple missed calls and to my message you reply whyd you only call me when youre high hi whyd you only call me when youre high somewhere darker talkin the same shite i need a partner high well are you out tonight its harder and harder to get you to listen more i get through the gears incapable of makin alright decisions and having bad ideas now its three in the mornin and im tryna change your mind left you multiple missed calls and to my message you reply message you reply whyd you only call me when youre high whyd you only call me when youre hi whyd you only call me when youre high and i cant see you here wonder where i might it sort of feels like im runnin out of time i havent found all i was hopin to find you said you got to be up in the mornin gonna have an early night and youre startin to bore me baby whyd you only call me when youre high whyd you only ever phone me when youre high whyd you only ever phone me when youre high whyd you only ever phone me when youre high whyd you only ever phone me when youre high
Arctic Monkeys,R U Mine?,2012,indie,im a puppet on a string tracy island timetraveling diamond cuttershaped heartaches that come to find you four in some velvet morning years too late shes a silver lining lone ranger riding through an open space in my mind when shes not right there beside me i go crazy cause here isnt where i wanna be and satisfaction feels like a distant memory and i cant help myself all i wanna hear her say is are you mine well are you mine are you mine are you mine oh ah i guess what im trying to say is i need the deep end keep imagining meeting wished away entire lifetimes unfair were not somewhere misbehaving for days great escape lost track of time and space shes a silver lining climbing on my desire and i go crazy cause here isnt where i wanna be and satisfaction feels like a distant memory and i cant help myself all i wanna hear her say is are you mine well are you mine are you mine tomorrow are you mine or just mine tonight are you mine are you mine mine and the thrill of the chase moves in mysterious ways so in case im mistaken i just wanna hear you say you got me baby are you mine shes a silver lining lone ranger riding through an open space in my mind when shes not right there beside me i go crazy cause here isnt where i wanna be and satisfaction feels like a distant memory and i cant help myself all i wanna hear her say is are you mine well are you mine are you mine tomorrow are you mine or just mine tonight are you mine are you mine tomorrow or just mine tonight
Arctic Monkeys,Arabella,2013,indie,arabellas got some interstellargator skin boots and a helter skelter round her little finger and i ride it endlessly shes got a barbarella silver swimsuit and when she needs to shelter from reality she takes a dip in my daydreams my days end best when the sunset gets itself behind that little lady sittin on the passenger side its much less picturesque without her catchin the light the horizon tries but its just not as kind on the eyes as arabella oh as arabella just mightve tapped into your mind and soul you cant be sure arabellas got a s head but shes a modern lover its an exploration shes made of outer space and her lips are like the galaxys edge and her kiss the colour of a constellation fallin into place my days end best when the sunset gets itself behind that little lady sittin on the passenger side its much less picturesque without her catchin the light the horizon tries but its just not as kind on the eyes as arabella oh as arabella just mightve tapped into your mind and soul you cant be sure thats magic in a cheetah print coat just a slip underneath it i hope asking if i can have one of those organic cigarettes that she smokes wraps her lips round a mexican coke makes you wish that you were the bottle takes a sip of your soul and it sounds like just mightve tapped into your mind and soul you cant be sure
Arctic Monkeys,No. 1 Party Anthem,2013,indie,one two three four so youre on the prowl wondering whether she left already or not leather jacket collar popped like antenna never knowin when to stop sunglasses indoors par for the course lights in the floors and sweat on the walls cages and poles call off the search for your soul or put it on hold again shes having a sly indoor smoke and she calls the folks who run this her oldest friends sippin her drink and laughin at imaginary jokes as all the signals are sent her eyes invite you to approach and it seems as though those lumps in your throat that you just swallowed have got you going come on come on come on come on come on come on number one party anthem shes a certified mind blower knowing full well that i know may suggest theres somewhere from which i might know her just to get the ball to roll drunken monologues confused because its not like im falling in love i just want you to do me no good and you look like you could come on come on come on come on come on come on number one party anthem come on come on come on before the moments gone number one party anthem yeah yeah the look of love the rush of blood the shes with mes the gallic shrug the shutterbugs the camera plus the black white and the colour dodge the good time girls the cubicles the house of fun the number one party anthem oh come on come on come on come on come on come on come on come on come on come on come on come on before the moments gone number one party anthem number one party anthem number one party anthem yeah yeah
Arctic Monkeys,Knee Socks,2013,indie,you got the lights on in the afternoon an the nights are drawn out long and youre kissin to cut through the gloom with a cough drop coloured tongue and you were sittin in the corner with the coats all piled high and i thought you might be mine in a small world on an exceptionally rainy tuesday night in the right place and time when the zeros line up on the hour clock when you know whos callin even though the number is blocked when you walked around your house wearin my sky blue lacoste and your knee socks well you cured my january blues yeah you made it all alright i got a feelin i might have lit the very fuse that you were tryin not to light you were a stranger in my phonebook i was actin like i knew cause i had nothin to lose when the winters in full swing and your dreams just arent comin true aint it funny what youll do when the zeros line up on the hour clock when you know whos callin even though the number is blocked when you walked around your house wearin my sky blue lacoste and your knee socks the late afternoon the ghost in your room that you always thought didnt approve of you knockin boots never stopped you lettin me get hold of the sweet spot by the scruff of your knee socks you and me could have been a team each had a half of a king and queen seat like the beginning of mean streets you could be my baby could be my baby you and me could have been a team each had a half of a king and queen suite like the beginning of mean streets you could be my baby could be my baby all the zeros lined up you and me could have been a team each had a half of a king and queen suite like the beginning of mean streets you could be my baby could be my baby but the numbers blocked you and me could have been a team each had a half of a king and queen suite when youve come undone like the beginning of mean streets you could be my baby could be my baby when the zeros line up on the hour clock when you know whos callin even though the number is blocked when you walked around your house wearin my sky blue lacoste and your knee socks when the zeros line up on the hour clock when you know whos callin even though the number is blocked when you walked around your house wearin my sky blue lacoste and your knee socks knee socks knee socks
Arctic Monkeys,Four Out of Five,2018,indie,advertise in imaginative ways start your free trial today come on in the waters lovely look you could meet someone you like during the meteor strike it is that easy lunar surface on a saturday night dressed up in silver and white with coloured old grey whistle test lights take it easy for a little while come and stay with us its such an easy flight cute new places keep on popping up since the exodus its all getting gentrified i put a taqueria on the roof it was well reviewed four stars out of five and thats unheard of mr bridge and tunnel on the starlight express the head of special effects in my minds eye hokey cokey with the opposite sex the things you try to forget doesnt time fly im in no position to give advice i dont want to be nice and you know that take it easy for a little while come and stay with us its such an easy flight cute new places keep on popping up around clavius its all getting gentrified the informationaction ratio is the place to go and you will not recognise the old headquarters all the nights that never happened and the days that dont exist at the informationaction ratio the only time that we stop laughing is to breathe or steal a kiss i can get you on the list for all the clubs i can lift you up another semitone take it easy for a little while take it easy for a little while come and stay with us its such an easy flight cute new places keep on popping up cute new places keep on popping up since the exodus its all getting gentrified the informationaction ratio the informationaction ratio is the place to go four stars out of five take it easy for a little while take it easy for a little while come and stay with us now its such an easy flight cute new places keep on popping up cute new places keep on popping up around clavius its all getting gentrified i put a taqueria on the moon the informationaction ratio it got rave reviews four stars out of five take it easy for a little while take it easy for a little while come and stay with us four stars out of five take it easy for a little while take it easy for a little while come and stay with us four stars out of five take it easy for a little while take it easy for a little while come and stay with us four stars out of five take it easy for a little while take it easy for a little while come and stay with us four stars out of five take it easy for a little while four stars out of five
